key,value,category
amenity,clinic,healthcare
amenity,dentist,healthcare
amenity,doctors,healthcare
amenity,hospital,healthcare
amenity,pharmacy,healthcare
amenity,physiokinesitherapy,healthcare
building,clinic,healthcare
building,hospital,healthcare
government,healthcare,healthcare
healthcare,,healthcare
healthcare:speciality,,healthcare
office,medical,healthcare
office,physician,healthcare
social_facility,ambulatory_care,healthcare
social_facility,assisted_living,healthcare
social_facility,day_care,healthcare
social_facility,daycare,healthcare
social_facility,healthcare,healthcare
