key,value,category
amenity,college,education
amenity,fablab,education
amenity,language_school,education
amenity,school,education
amenity,university,education
building,college,education
building,foreign_school,education
building,school,education
building,school;yes,education
building,university,education
building:part,school,education
distretto_scolastico,,education
government,education,education
landuse,education,education
office,educational_institution,education
office,research,education
office,research_institute,education
office,school,education
